item_id,category,stock_level,reorder_point,reorder_frequency_days,lead_time_days,daily_demand,demand_std_dev,item_popularity_score,storage_location_id,zone,picking_time_seconds,handling_cost_per_unit,unit_price,holding_cost_per_unit_day,stockout_count_last_month,order_fulfillment_rate,total_orders_last_month,turnover_ratio,layout_efficiency_score,last_restock_date,forecasted_demand_next_7d,KPI_score,score_pick_time,score_demand,score_layout_bad,score_handling_cost,automation_candidate_score,automation_candidate_flag,robot_assisted,manual_pick_time_seconds,robot_pick_time_seconds,robot_workload_share_proxy
ITM10010,Pharma,56,63,7,2,33.22,0.82,0.36,L87,B,107,0.53,188.5,1.95,1,0.87,71,8.97,0.6,2024-02-07,266.58,0.599,0.5739644970414202,0.65774964263835,0.5,0.006666666666666672,0.5275773582747397,0,0,107.0,107.0,0.2984954743166571
ITM10011,Groceries,20,66,3,7,44.27,4.34,0.36,L95,A,135,2.76,35.51,0.18,1,0.7,599,6.16,0.24,2024-04-06,63.97,0.632,0.7396449704142012,0.8833979987747602,0.9500000000000001,0.5022222222222221,0.8010996100203308,1,1,135.0,93.50329622114772,0.2984954743166571
ITM10012,Automotive,418,13,7,3,29.28,7.95,0.29,L70,A,33,1.23,148.01,1.99,8,0.98,588,4.2,0.9,2024-10-27,119.26,0.473,0.13609467455621302,0.5772922197263631,0.1250000000000001,0.1622222222222222,0.2688477579626164,0,0,33.0,33.0,0.2984954743166571
ITM10013,Apparel,56,84,14,5,18.35,8.24,0.53,L12,D,131,4.84,154.27,0.58,1,0.77,331,12.88,0.94,2024-12-09,254.1,0.836,0.7159763313609467,0.3540943434755973,0.07500000000000007,0.9644444444444444,0.5040632800315024,0,0,131.0,131.0,0.2984954743166571
ITM10014,Pharma,160,58,14,4,41.22,9.31,0.56,L76,C,141,1.42,149.24,0.9,3,0.91,328,1.77,0.25,2024-10-13,115.62,0.506,0.7751479289940828,0.8211149683479682,0.9375,0.20444444444444443,0.764338106546468,1,1,141.0,97.00970595298132,0.2984954743166571
ITM10015,Apparel,251,16,5,5,39.34,7.18,0.29,L55,B,146,1.36,197.96,1.58,1,0.85,169,7.54,0.24,2024-04-21,129.55,0.541,0.8047337278106509,0.782724116806208,0.9500000000000001,0.19111111111111112,0.7658218372772339,1,1,146.0,107.07044867309429,0.2984954743166571
ITM10016,Pharma,155,20,9,7,27.66,2.83,0.65,L5,A,139,0.64,87.75,1.36,0,0.8,302,7.65,0.38,2024-09-02,102.57,0.602,0.7633136094674556,0.5442107412701654,0.775,0.031111111111111114,0.6266997772791429,1,1,139.0,99.37125197437858,0.2984954743166571
ITM10017,Automotive,408,63,8,7,8.56,5.3,0.75,L4,C,172,1.98,139.62,1.58,9,0.78,920,8.98,0.94,2024-04-16,270.86,0.526,0.9585798816568047,0.15417602613845213,0.07500000000000007,0.3288888888888889,0.47757364939314645,0,0,172.0,172.0,0.2984954743166571
ITM10018,Electronics,207,96,10,8,13.3,0.81,0.44,L12,C,132,0.61,46.79,0.99,6,0.98,526,3.77,0.82,2024-06-19,202.37,0.591,0.7218934911242604,0.2509699816214009,0.2250000000000002,0.024444444444444442,0.4114928353805689,0,0,132.0,132.0,0.2984954743166571
ITM10019,Pharma,147,54,7,6,37.19,6.65,0.63,L28,B,47,2.74,85.94,1.84,4,0.97,114,13.2,0.74,2024-06-04,70.55,0.654,0.21893491124260356,0.738819685521748,0.32499999999999996,0.4977777777777778,0.42399764793134365,0,0,47.0,47.0,0.2984954743166571
ITM10020,Apparel,220,32,4,8,40.5,5.77,0.55,L30,C,152,2.78,103.4,1.6,2,0.85,635,14.51,0.82,2024-01-08,227.39,0.727,0.8402366863905325,0.8064120890341026,0.2250000000000002,0.5066666666666666,0.6736849679331104,1,1,152.0,109.70705568438407,0.2984954743166571
ITM10021,Automotive,146,37,11,3,14.68,6.83,0.28,L65,A,179,0.74,50.82,0.69,7,0.78,352,8.69,0.36,2024-04-18,21.17,0.535,1.0,0.27915050030631,0.8,0.05333333333333333,0.6490784834252263,1,1,179.0,124.63398467217186,0.2984954743166571
ITM10022,Pharma,276,66,13,2,19.03,9.34,0.76,L78,D,140,1.58,182.29,1.9,4,0.73,366,4.59,0.41,2024-04-07,124.96,0.419,0.7692307692307693,0.3679803961609148,0.7375,0.24000000000000002,0.5895864265405821,0,0,140.0,140.0,0.2984954743166571
ITM10023,Electronics,183,35,10,5,4.8,7.03,0.82,L4,C,168,4.24,146.08,1.93,0,0.75,223,13.28,0.45,2024-03-01,273.83,0.624,0.9349112426035503,0.07739432305493159,0.6875,0.8311111111111111,0.6177939050690108,1,1,168.0,107.94126608025252,0.2984954743166571
ITM10024,Electronics,54,34,8,3,35.96,3.54,0.68,L72,D,178,2.58,63.91,0.89,8,0.86,949,14.83,0.68,2024-09-02,210.04,0.657,0.9940828402366864,0.7137022666938942,0.4,0.46222222222222226,0.7379660383250651,1,1,178.0,120.6724414401187,0.2984954743166571
ITM10025,Groceries,213,63,12,9,1.18,2.39,0.39,L26,B,66,2.46,35.64,1.34,4,0.79,464,11.39,0.69,2024-05-04,240.0,0.634,0.33136094674556216,0.003471513171329384,0.38750000000000007,0.43555555555555553,0.25464138820517923,0,0,66.0,66.0,0.2984954743166571
ITM10026,Groceries,210,38,9,2,3.28,8.62,0.93,L92,B,51,3.64,64.69,1.65,2,0.71,309,5.67,0.37,2024-12-22,280.08,0.487,0.24260355029585798,0.04635491117010414,0.7875000000000001,0.6977777777777778,0.33822567124715225,0,0,51.0,51.0,0.2984954743166571
ITM10027,Apparel,123,92,11,5,1.21,2.35,0.51,L84,C,62,3.72,128.37,1.65,5,0.84,334,4.3,0.55,2024-11-05,234.62,0.47,0.3076923076923077,0.0040841331427404525,0.5625,0.7155555555555556,0.3083577185753008,0,0,62.0,62.0,0.2984954743166571
ITM10028,Pharma,42,45,9,3,32.62,2.04,0.34,L90,D,128,3.93,167.02,0.13,7,0.92,122,3.19,0.75,2024-12-26,35.69,0.624,0.6982248520710059,0.6454972432101286,0.3125,0.7622222222222222,0.6116613360136631,0,0,128.0,128.0,0.2984954743166571
ITM10029,Pharma,284,23,5,4,21.45,2.46,0.47,L70,A,130,4.24,105.6,1.3,1,0.97,128,4.29,0.45,2024-04-14,76.89,0.591,0.7100591715976331,0.4173984071880743,0.6875,0.8311111111111111,0.6298543019065868,1,1,130.0,87.64838103257442,0.2984954743166571
ITM10030,Groceries,309,87,8,5,15.58,5.33,0.72,L54,D,65,1.55,29.47,1.95,2,0.88,93,4.18,0.26,2024-07-22,155.0,0.449,0.3254437869822485,0.29752909944864203,0.925,0.23333333333333334,0.4277695779608254,0,0,65.0,65.0,0.2984954743166571
ITM10031,Pharma,449,44,13,3,45.72,1.68,0.86,L29,C,96,0.8,57.37,0.54,6,0.92,794,14.54,0.36,2024-05-02,14.02,0.676,0.5088757396449705,0.9130079640596284,0.8,0.06666666666666668,0.6441193517425434,1,1,96.0,64.82786095079683,0.2984954743166571
ITM10032,Pharma,481,39,13,7,10.45,9.41,0.42,L58,D,85,2.21,75.58,1.61,1,0.81,52,10.01,0.33,2024-10-09,191.13,0.58,0.4437869822485207,0.19277108433734938,0.8375,0.38,0.44084611820061315,0,0,85.0,85.0,0.2984954743166571
ITM10033,Electronics,403,26,9,2,20.08,9.68,0.31,L76,D,94,4.35,130.87,1.12,4,0.85,492,3.34,0.71,2024-06-13,200.6,0.565,0.4970414201183432,0.3894220951603022,0.36250000000000004,0.8555555555555555,0.4736987521509835,0,0,94.0,94.0,0.2984954743166571
ITM10034,Groceries,279,76,4,3,47.08,9.75,0.66,L36,B,94,0.85,56.86,0.52,8,0.92,128,7.83,0.25,2024-05-24,211.97,0.526,0.4970414201183432,0.9407800694302635,0.9375,0.07777777777777778,0.676328366654194,1,1,94.0,65.83218214109912,0.2984954743166571
ITM10035,Automotive,433,89,5,4,21.93,0.87,0.93,L1,C,169,3.09,54.45,0.2,6,0.92,426,3.58,0.91,2024-07-13,171.16,0.674,0.9408284023668639,0.4272003267306514,0.11250000000000004,0.5755555555555555,0.5845470145214966,0,0,169.0,169.0,0.2984954743166571
ITM10036,Groceries,498,39,6,8,28.18,9.49,0.26,L98,D,90,3.65,64.38,1.54,2,0.83,742,9.48,0.27,2024-08-26,141.19,0.552,0.47337278106508873,0.5548294874412906,0.9125,0.7,0.6082979586584226,0,0,90.0,90.0,0.2984954743166571
ITM10037,Automotive,377,54,12,5,4.94,9.98,0.82,L21,C,174,2.67,122.58,0.7,1,0.86,188,5.78,0.68,2024-09-30,258.11,0.695,0.9704142011834319,0.08025321625484992,0.4,0.4822222222222222,0.54046386757205,0,0,174.0,174.0,0.2984954743166571
ITM10038,Electronics,94,88,8,9,39.72,9.45,0.53,L90,A,17,1.65,103.6,0.81,9,0.98,951,3.74,0.94,2024-11-28,232.53,0.573,0.04142011834319527,0.7904839697774148,0.07500000000000007,0.25555555555555554,0.2942687938260581,0,0,17.0,17.0,0.2984954743166571
ITM10039,Apparel,374,98,3,5,21.72,6.87,0.82,L55,C,20,1.97,169.91,1.02,8,0.89,864,4.4,0.25,2024-07-02,187.58,0.425,0.05917159763313609,0.4229119869307739,0.9375,0.32666666666666666,0.37070890179915333,0,0,20.0,20.0,0.2984954743166571
ITM10040,Pharma,91,60,11,5,40.23,7.16,0.55,L44,A,147,0.82,142.61,1.06,8,0.89,56,10.45,0.51,2024-06-06,23.34,0.553,0.8106508875739645,0.8008985092914029,0.6125,0.0711111111111111,0.6941410189281179,1,1,147.0,110.14967865543913,0.2984954743166571
ITM10041,Electronics,278,56,7,4,13.44,1.66,0.44,L36,C,124,1.82,136.7,0.49,8,0.94,932,6.71,0.46,2024-05-13,211.24,0.56,0.6745562130177515,0.25382887482131916,0.675,0.29333333333333333,0.5103044809868297,0,0,124.0,124.0,0.2984954743166571
ITM10042,Pharma,417,62,14,2,21.7,8.81,0.73,L20,C,90,0.7,39.38,1.37,9,0.73,927,8.18,0.48,2024-07-03,171.87,0.434,0.47337278106508873,0.4225035736164999,0.6500000000000001,0.04444444444444443,0.45054462895542985,0,0,90.0,90.0,0.2984954743166571
ITM10043,Apparel,207,73,9,5,39.54,1.07,0.91,L28,D,96,3.77,20.49,1.42,2,0.86,885,12.5,0.68,2024-09-19,211.11,0.693,0.5088757396449705,0.7868082499489484,0.4,0.7266666666666667,0.5922594375093393,0,0,96.0,96.0,0.2984954743166571
ITM10044,Apparel,480,47,11,2,48.72,3.52,0.39,L98,D,51,4.54,106.9,0.37,0,0.99,774,10.18,0.41,2024-09-11,100.31,0.779,0.24260355029585798,0.9742699612007352,0.7375,0.8977777777777778,0.6266001862563415,1,1,51.0,41.00238561592215,0.2984954743166571
ITM10045,Electronics,192,73,11,3,3.92,9.92,0.51,L44,A,46,3.35,23.61,1.11,8,0.81,562,7.47,0.22,2024-08-26,235.33,0.435,0.21301775147928995,0.0594241372268736,0.975,0.6333333333333333,0.3613676750931114,0,0,46.0,46.0,0.2984954743166571
ITM10046,Apparel,499,96,3,7,40.81,4.51,0.31,L14,A,101,3.46,79.16,1.26,6,0.79,745,14.36,0.97,2024-02-20,131.2,0.697,0.5384615384615384,0.8127424954053504,0.03749999999999998,0.6577777777777778,0.5324851417839983,0,0,101.0,101.0,0.2984954743166571
ITM10047,Automotive,309,98,3,9,15.73,1.75,0.27,L12,B,94,2.62,14.96,0.45,1,0.88,812,4.0,0.8,2024-08-28,269.4,0.724,0.4970414201183432,0.30059219930569736,0.2499999999999999,0.47111111111111115,0.3861053389501576,0,0,94.0,94.0,0.2984954743166571
ITM10048,Apparel,64,16,5,7,27.99,9.71,0.8,L49,D,68,1.2,43.59,1.8,5,0.77,776,5.05,0.31,2024-06-12,40.16,0.403,0.3431952662721893,0.5509495609556871,0.8625,0.15555555555555556,0.49061853035113745,0,0,68.0,68.0,0.2984954743166571
ITM10049,Pharma,80,31,8,2,15.21,9.85,0.28,L13,A,161,0.53,30.97,1.02,8,0.87,126,13.76,0.56,2024-04-14,150.52,0.607,0.893491124260355,0.28997345313457223,0.55,0.006666666666666672,0.5550551523111804,0,0,161.0,161.0,0.2984954743166571
ITM10050,Pharma,102,90,4,2,31.06,2.28,0.81,L46,D,165,2.05,162.19,0.32,7,0.75,92,12.95,0.25,2024-07-08,69.66,0.601,0.9171597633136095,0.6136410046967531,0.9375,0.3444444444444444,0.7729006511789142,1,1,165.0,116.6223565251304,0.2984954743166571
ITM10051,Pharma,142,91,12,7,18.34,8.72,0.49,L45,C,46,3.88,75.76,0.74,5,0.87,973,2.82,0.22,2024-06-09,141.51,0.482,0.21301775147928995,0.35389013681846027,0.975,0.7511111111111111,0.4614852527483652,0,0,46.0,46.0,0.2984954743166571
ITM10052,Pharma,377,50,14,5,17.35,4.21,1.0,L78,B,30,4.82,24.98,1.01,5,0.88,206,14.02,0.24,2024-07-30,112.59,0.61,0.11834319526627218,0.33367367776189505,0.9500000000000001,0.9600000000000001,0.4334393814350775,0,0,30.0,30.0,0.2984954743166571
ITM10053,Automotive,35,83,13,6,2.86,4.12,0.28,L34,D,170,2.44,60.44,0.12,7,0.83,579,1.14,0.8,2024-01-24,243.0,0.589,0.9467455621301775,0.037778231570349194,0.2499999999999999,0.4311111111111111,0.48314280543428684,0,0,170.0,170.0,0.2984954743166571
ITM10054,Groceries,85,19,3,6,8.2,3.0,0.18,L6,D,139,2.14,139.73,0.16,8,0.81,904,12.51,0.56,2024-10-15,58.48,0.665,0.7633136094674556,0.1468245864815193,0.55,0.36444444444444446,0.4958172641758825,0,0,139.0,139.0,0.2984954743166571
ITM10055,Electronics,443,66,3,4,45.94,0.92,0.17,L94,D,92,2.51,151.67,0.21,7,0.77,269,4.9,0.88,2024-04-23,183.63,0.634,0.48520710059171596,0.9175005105166428,0.15000000000000013,0.4466666666666666,0.5439996600583459,0,0,92.0,92.0,0.2984954743166571
ITM10056,Pharma,164,16,7,9,49.92,3.05,0.85,L59,D,165,2.42,32.77,1.12,0,0.8,634,3.64,0.44,2024-03-15,127.88,0.585,0.9171597633136095,0.9987747600571779,0.7,0.42666666666666664,0.8491630000092638,1,1,165.0,114.14853645302145,0.2984954743166571
ITM10057,Apparel,394,59,6,8,39.25,1.01,0.49,L69,A,152,3.32,157.93,0.74,1,0.85,239,7.28,0.82,2024-01-09,160.24,0.737,0.8402366863905325,0.7808862568919748,0.2250000000000002,0.6266666666666666,0.6780272182904721,1,1,152.0,111.0429936744515,0.2984954743166571
ITM10058,Pharma,181,61,3,7,15.05,9.28,0.1,L16,A,10,3.8,80.41,1.8,5,0.77,924,13.56,0.26,2024-05-13,217.18,0.507,0.0,0.28670614662037985,0.925,0.7333333333333333,0.34434517731944736,0,0,10.0,10.0,0.2984954743166571
ITM10059,Apparel,253,42,6,7,20.72,6.79,0.89,L49,B,116,4.03,139.08,1.16,7,0.93,311,12.0,0.71,2024-10-10,113.56,0.632,0.6272189349112426,0.40249132121707165,0.36250000000000004,0.7844444444444445,0.522579414774063,0,0,116.0,116.0,0.2984954743166571
ITM10060,Apparel,399,10,5,4,37.24,8.92,0.89,L11,C,37,3.42,137.59,1.54,3,0.91,193,14.54,0.49,2024-10-26,116.45,0.66,0.15976331360946747,0.7398407188074332,0.6375000000000001,0.6488888888888888,0.47824642997490585,0,0,37.0,37.0,0.2984954743166571
ITM10061,Pharma,163,62,4,9,48.46,7.31,0.83,L71,C,59,2.47,160.78,1.41,3,0.78,534,8.57,0.42,2024-10-23,32.27,0.553,0.28994082840236685,0.9689605881151726,0.7250000000000001,0.4377777777777778,0.5954422855732763,0,0,59.0,59.0,0.2984954743166571
ITM10062,Automotive,377,69,11,6,23.32,1.75,0.32,L38,B,44,4.78,142.46,1.09,1,0.73,690,8.15,0.85,2024-08-01,170.06,0.696,0.20118343195266272,0.45558505207269756,0.1875000000000001,0.9511111111111111,0.3497599995139855,0,0,44.0,44.0,0.2984954743166571
ITM10063,Apparel,207,43,13,3,41.65,9.44,0.44,L81,C,165,3.7,17.38,1.51,9,0.7,327,1.18,0.24,2024-05-31,130.9,0.273,0.9171597633136095,0.8298958546048602,0.9500000000000001,0.7111111111111111,0.8769437728180131,1,1,165.0,101.84949525969289,0.2984954743166571
ITM10064,Apparel,341,13,3,5,48.78,9.05,0.77,L80,A,146,2.42,108.7,1.13,0,0.88,863,3.53,0.96,2024-03-19,245.56,0.702,0.8047337278106509,0.9754952011435574,0.050000000000000044,0.42666666666666664,0.6672087181339942,1,1,146.0,109.82225826207177,0.2984954743166571
ITM10065,Pharma,469,26,9,5,43.8,3.81,0.54,L47,D,161,2.51,41.57,0.83,9,0.76,751,7.97,0.83,2024-04-10,137.39,0.561,0.893491124260355,0.87380028588932,0.21250000000000013,0.4466666666666666,0.7067032021376046,1,1,161.0,123.18546592253486,0.2984954743166571
ITM10066,Apparel,493,13,6,3,12.13,1.56,0.24,L74,C,141,4.18,194.29,0.93,8,0.7,712,11.54,0.48,2024-06-17,291.53,0.537,0.7751479289940828,0.22707780273636924,0.6500000000000001,0.8177777777777777,0.5899602901963217,0,0,141.0,141.0,0.2984954743166571
ITM10067,Apparel,32,52,7,3,1.39,7.19,0.32,L25,D,50,2.48,58.61,1.69,6,0.81,966,12.52,0.99,2024-04-27,59.82,0.638,0.23668639053254437,0.007759852971206859,0.012499999999999956,0.44,0.1435025121043798,0,0,50.0,50.0,0.2984954743166571
ITM10068,Pharma,203,99,12,9,25.11,7.42,0.98,L91,D,76,2.82,89.82,1.17,8,0.99,356,4.97,0.36,2024-07-13,87.45,0.459,0.3905325443786982,0.49213804370022457,0.8,0.5155555555555555,0.5154099864171022,0,0,76.0,76.0,0.2984954743166571
ITM10069,Pharma,130,13,7,6,27.04,9.02,0.24,L9,A,57,1.81,47.37,0.82,1,0.91,945,10.97,0.52,2024-10-18,123.65,0.73,0.2781065088757396,0.5315499285276699,0.6000000000000001,0.2911111111111111,0.4198186932197079,0,0,57.0,57.0,0.2984954743166571
ITM10070,Electronics,434,10,3,4,10.86,1.0,0.75,L6,D,95,4.28,35.57,0.44,9,0.96,656,12.6,0.91,2024-05-05,59.42,0.718,0.5029585798816568,0.20114355727996733,0.11250000000000004,0.8400000000000001,0.368026499136653,0,0,95.0,95.0,0.2984954743166571
ITM10071,Automotive,309,80,8,3,14.95,1.85,0.53,L85,C,67,2.85,124.18,1.04,4,0.74,599,6.25,1.0,2024-09-12,291.97,0.647,0.33727810650887574,0.2846640800490096,0.0,0.5222222222222223,0.27253268884047543,0,0,67.0,67.0,0.2984954743166571
ITM10072,Automotive,314,59,11,4,38.49,6.18,0.77,L30,A,48,2.99,103.7,0.58,1,0.72,205,10.74,0.39,2024-10-08,195.88,0.687,0.22485207100591717,0.7653665509495611,0.7625,0.5533333333333333,0.5273841270205686,0,0,48.0,48.0,0.2984954743166571
ITM10073,Apparel,470,82,4,9,24.05,6.38,0.7,L99,B,34,4.46,81.19,1.92,9,0.7,349,7.12,0.79,2024-12-01,13.25,0.421,0.14201183431952663,0.4704921380437002,0.26249999999999996,0.88,0.33845237514092075,0,0,34.0,34.0,0.2984954743166571
ITM10074,Automotive,411,70,9,8,16.55,0.82,0.5,L38,A,69,4.64,26.23,1.03,6,0.99,396,14.8,0.44,2024-12-16,177.77,0.66,0.34911242603550297,0.31733714519093326,0.7,0.9199999999999999,0.4668461139714811,0,0,69.0,69.0,0.2984954743166571
ITM10075,Apparel,234,44,8,2,31.51,4.27,0.42,L11,C,126,4.21,149.83,0.12,8,0.79,472,1.09,0.81,2024-06-21,236.56,0.563,0.6863905325443787,0.6228303042679192,0.23749999999999993,0.8244444444444444,0.5913497487425716,0,0,126.0,126.0,0.2984954743166571
ITM10076,Electronics,481,17,7,5,32.99,6.05,0.78,L30,A,95,0.79,11.11,0.28,2,0.84,475,6.8,0.3,2024-05-11,24.88,0.651,0.5029585798816568,0.6530528895241985,0.875,0.06444444444444446,0.5785437432543667,0,0,95.0,95.0,0.2984954743166571
ITM10077,Pharma,139,33,6,6,38.7,7.51,0.39,L13,C,123,2.5,96.96,0.64,0,0.82,91,4.69,0.47,2024-09-07,177.6,0.657,0.6686390532544378,0.7696548907494386,0.6625000000000001,0.4444444444444444,0.6752965329710512,1,1,123.0,87.0002388448269,0.2984954743166571
ITM10078,Pharma,401,92,6,5,8.68,3.5,0.81,L49,C,93,2.04,130.19,0.28,3,0.92,365,12.9,0.26,2024-11-24,118.55,0.72,0.4911242603550296,0.1566265060240964,0.925,0.3422222222222222,0.462659878171463,0,0,93.0,93.0,0.2984954743166571
ITM10079,Pharma,74,45,8,6,37.33,5.1,0.71,L36,A,164,1.46,91.84,1.8,3,0.79,687,5.02,0.59,2024-09-08,178.63,0.503,0.9112426035502958,0.7416785787216663,0.5125000000000001,0.21333333333333332,0.7108339483699516,1,1,164.0,109.86606744238718,0.2984954743166571
ITM10080,Automotive,46,59,6,9,30.37,8.23,0.62,L59,C,133,4.59,33.98,1.72,5,0.86,874,8.61,0.76,2024-08-23,83.26,0.567,0.727810650887574,0.5995507453542985,0.29999999999999993,0.9088888888888889,0.6218783728502081,1,1,133.0,97.28056307081349,0.2984954743166571
ITM10081,Electronics,137,52,7,2,3.82,9.56,0.43,L82,B,120,4.51,157.87,1.94,4,1.0,126,11.36,0.5,2024-03-27,203.14,0.577,0.650887573964497,0.05738207065550336,0.625,0.8911111111111111,0.4916807618935609,0,0,120.0,120.0,0.2984954743166571
ITM10082,Automotive,240,36,8,5,39.09,2.69,0.28,L47,C,51,2.59,71.55,1.44,4,0.83,145,7.96,0.69,2024-06-29,204.69,0.586,0.24260355029585798,0.7776189503777824,0.38750000000000007,0.46444444444444444,0.4542715496761224,0,0,51.0,51.0,0.2984954743166571
ITM10083,Automotive,250,41,7,2,19.77,2.9,0.74,L21,B,61,1.11,35.6,1.33,8,0.87,312,6.75,0.66,2024-03-27,166.46,0.503,0.30177514792899407,0.3830916887890545,0.42500000000000004,0.13555555555555557,0.3341931213638695,0,0,61.0,61.0,0.2984954743166571
ITM10084,Electronics,72,87,9,9,17.19,9.43,0.18,L48,B,57,0.56,114.55,1.85,0,0.85,868,1.6,0.44,2024-03-12,277.89,0.494,0.2781065088757396,0.33040637124770267,0.7,0.013333333333333345,0.35169784825794,0,0,57.0,57.0,0.2984954743166571
ITM10085,Electronics,314,27,11,6,22.96,4.26,0.97,L46,C,41,2.47,13.64,1.9,7,0.94,786,1.32,0.59,2024-10-06,273.75,0.394,0.1834319526627219,0.44823361241576476,0.5125000000000001,0.4377777777777778,0.354120642567596,0,0,41.0,41.0,0.2984954743166571
ITM10086,Electronics,340,37,12,3,17.96,7.32,0.98,L27,D,161,0.68,71.57,1.77,7,0.78,672,14.4,0.26,2024-09-07,23.79,0.483,0.893491124260355,0.3461302838472534,0.925,0.04000000000000001,0.6502355348583181,1,1,161.0,100.5117464621969,0.2984954743166571
ITM10087,Electronics,420,38,9,8,17.58,6.32,0.22,L86,B,140,3.24,152.62,1.74,7,0.75,799,10.01,0.57,2024-04-04,94.07,0.483,0.7692307692307693,0.3383704308760465,0.5375000000000001,0.6088888888888889,0.5775923258440105,0,0,140.0,140.0,0.2984954743166571
ITM10088,Pharma,252,25,9,5,40.6,3.21,0.19,L35,B,127,3.24,183.42,1.38,2,0.93,254,12.55,0.57,2024-10-04,115.64,0.689,0.6923076923076923,0.8084541556054728,0.5375000000000001,0.6088888888888889,0.6878482124936077,1,1,127.0,106.40380185180308,0.2984954743166571
ITM10089,Groceries,177,56,6,2,7.1,6.71,0.47,L90,A,164,4.55,122.43,0.1,9,0.82,337,7.73,0.22,2024-11-24,26.03,0.521,0.9112426035502958,0.12436185419644681,0.975,0.8999999999999999,0.6868055976790524,1,1,164.0,113.88980044110548,0.2984954743166571
ITM10090,Groceries,456,68,3,7,48.56,6.73,0.97,L88,B,177,1.36,51.35,0.92,7,0.97,312,4.66,0.61,2024-01-31,161.85,0.546,0.9881656804733728,0.9710026546865429,0.48750000000000004,0.19111111111111112,0.8031781797064231,1,1,177.0,141.20831797464479,0.2984954743166571
ITM10091,Electronics,288,40,10,5,28.19,6.13,0.46,L83,B,32,2.17,51.8,1.31,1,0.89,637,5.12,0.79,2024-09-25,17.13,0.653,0.1301775147928994,0.5550336940984276,0.26249999999999996,0.3711111111111111,0.3081922252577991,0,0,32.0,32.0,0.2984954743166571
